....................
KOD,SIMPLE_NAM
0106320090,"ПРОЧИЕ ПОПУГАЕОБРАЗНЫЕ (ВКЛЮЧАЯ ПОПУГАЕВ, ДЛИННОХВОСТЫХ ПОПУГАЕВ, АРА И КАКАДУ)"
010633,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: СТРАУСЫ; ЭМУ (DROMAIUS NOVAEHOLLANDIAE)
01063300,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: СТРАУСЫ; ЭМУ (DROMAIUS NOVAEHOLLANDIAE)
0106330010,"СТРАУСЫ; ЭМУ (DROMAIUS OVAEHOLLANDIAE), ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ"
0106330090,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, ПТИЦЫ: СТРАУСЫ; ЭМУ (DROMAIUS NOVAEHOLLANDIAE), ПРОЧИЕ"
010639,ПРОЧИЕ ХИЩНЫЕ ПТИЦЫ
01063910,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, ПТИЦЫ ПРОЧИЕ: ГОЛУБИ"
0106391000,"ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ, ПТИЦЫ ПРОЧИЕ: ГОЛУБИ"
01063980,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПТИЦЫ ПРОЧИЕ
0106398010,ПРОЧИЕ ПТИЦЫ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ РАБОТ
0106398090,ЖИВЫЕ ЖИВОТНЫЕ ПРОЧИЕ: ПТИЦЫ ПРОЧИЕ
010641,ЖИВЫЕ ПЧЕЛЫ
01064100,ЖИВЫЕ ПЧЕЛЫ
0106410001,ПЧЕЛЫ МЕДОНОСНЫЕ: МАТКИ ПЧЕЛИНЫЕ
0106410002,ПЧЕЛЫ МЕДОНОСНЫЕ: ПЧЕЛОПАКЕТЫ
0106410003,"ПРОЧИЕ ПЧЕЛЫ, МЕДОНОСНЫЕ: ПРОЧИЕ"
0106410008,ПРОЧИЕ ПЧЕЛЫ ДЛЯ НАУЧНО ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106410009,ПРОЧИЕ ПЧЕЛЫ: ПРОЧИЕ
010649,ПРОЧИЕ ЖИВЫЕ НАСЕКОМЫЕ
01064900,ПРОЧИЕ ЖИВЫЕ НАСЕКОМЫЕ
0106490001,ПРОЧИЕ НАСЕКОМЫЕ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106490009,ПРОЧИЕ НАСЕКОМЫЕ: ПРОЧИЕ
010690,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ
01069000,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ
0106900010,ПРОЧИЕ ЖИВОТНЫЕ ЖИВЫЕ ДЛЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ ЦЕЛЕЙ
0106900090,ПРОЧИЕ ЖИВЫЕ ЖИВОТНЫЕ: ПРОЧИЕ
02,МЯСО И ПИЩЕВЫЕ МЯСНЫЕ СУБПРОДУКТЫ
